CodRegion_ESTAB,ESTAB,Nombre,TipoEstablecimiento,lat,lng
15,101302,Centro de Salud Familiar Dr. Amador Neghme de Arica,Consultorio General Urbano,-18.437654999999999,-70.290806000000003
15,101303,Centro de Salud Familiar E. U. Iris Véliz Hume (Ex Oriente),Consultorio General Urbano,-18.483923999999998,-70.282421999999997
15,101304,Centro de Salud Familiar Putre,Consultorio General Rural,-18.197611999999999,-69.557340999999994
15,101305,Centro de Salud Familiar Remigio Sapunar,Consultorio General Urbano,-18.480229000000001,-70.308177000000001
15,101306,Centro de Salud Ambiental de Arica,Consultorio General Urbano,-18.483419000000001,-70.316845000000001
15,101307,Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte),Consultorio General Urbano,-18.426894000000001,-70.290548999999999
15,101400,Posta de Salud Rural San Miguel de Azapa,Posta de Salud Rural,-18.518294000000001,-70.178579999999997
15,101401,Posta de Salud Rural Poconchile,Posta de Salud Rural,-18.452459999999999,-70.067335
15,101402,Posta de Salud Rural Belén (Putre),Posta de Salud Rural,-18.468097,-69.514741000000001
15,101404,Posta de Salud Rural Visviri,Posta de Salud Rural,-17.594867000000001,-69.480468999999999
15,101405,Posta de Salud Rural Alcérreca,Posta de Salud Rural,S/I,S/I
15,101406,Posta de Salud Rural Codpa,Posta de Salud Rural,-18.833227000000001,-69.744859000000005
15,101407,Posta de Salud Rural Ticnamar,Posta de Salud Rural,-18.581704999999999,-69.494395999999995
15,101408,Posta de Salud Rural Sobraya,Posta de Salud Rural,-18.574217999999998,-70.055819
15,101607,Centro de Salud Mental Comunitaria Norte,,-18.444192000000001,-70.292548999999994
15,101608,ESSMA Sur de Arica,,-18.481646999999999,-70.312143000000006
15,101702,Centro Comunitario de Salud Familiar Dr. Miguel Massa,,-18.435873000000001,-70.289034999999998
15,101703,Centro Comunitario de Salud Familiar Dr. René García Valenzuela,,-18.459078000000002,-70.280754000000002
15,101704,Centro Comunitario de Salud Familiar Cerro La Cruz,,-18.494862999999999,-70.31259
1,102010,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Iquique),Dirección Servicio de Salud,S/I,S/I
1,102011,PRAIS (S.S. Iquique),,-20.215119000000001,-70.152316999999996
1,102012,Clínica Dental Móvil Simple. Pat. RW6740 (Iquique),,-20.215454999999999,-70.138281000000006
1,102100,Hospital Dr. Ernesto Torres Galdames (Iquique),Establecimiento Alta Complejidad,-20.214354,-70.138930999999999
1,102200,Clínica Iquique,Clínica,-20.218299999999999,-70.154970000000006
1,102201,Clínica Tarapacá,Clínica,-20.222771000000002,-70.147577999999996
1,102209,Centro Clínico Militar Iquique,Centro de Salud,-20.229514999999999,-70.145038999999997
1,102213,Centro Médico y Dental Megasalud Iquique,Centro Médico y Dental,S/I,S/I
1,102216,Centro de Salud Mutual CChC Iquique,Centro de Salud,S/I,S/I
1,102217,Policlínico Naval de Iquique,Centro de Salud,-20.215357000000001,-70.156666000000001
1,102218,Policlínico FACH de Iquique,Centro de Salud,-20.230142000000001,-70.142908000000006
1,102219,Policlínico Carabineros de Iquique,Centro de Salud,-20.216887,-70.155056000000002
1,102220,Clínica Coposa Cía. Minera Doña Inés de Collahuasi,Clínica,-20.826792999999999,-68.657633000000004
1,102221,Clínica Establecimiento Penitenciario Alto Hospicio,Clínica,-20.240812999999999,-70.054423999999997
1,102222,Centro de Atención Instituto de Seguridad del Trabajador Iquique,Centro de Salud,S/I,S/I
1,102223,Policlínico del Trabajador AChS Iquique,Centro de Salud,S/I,S/I
1,102224,Vacunatorio Sonrisa Infantil,Vacunatorio,S/I,S/I
1,102225,Centro Médico y Dental Megasalud Alto Hospicio,Centro Médico y Dental,S/I,S/I
1,102226,Vacunatorio Vacumed,Vacunatorio,S/I,S/I
1,102227,Centro de Salud Universidad Arturo Prat,Centro de Salud,S/I,S/I
1,102228,Laboratorio Clínico Bionet,Centro de Salud,S/I,S/I
1,102229,Laboratorio Clínico Automatizado Elmo,Laboratorio Clínico o Dental,S/I,S/I
1,102230,Laboratorio Clínico Automatizado Biogénesis,Laboratorio Clínico o Dental,S/I,S/I
1,102231,Clinicum Laboratorio  Automatizado Ltda.,Laboratorio Clínico o Dental,S/I,S/I
1,102232,Centro de Diálisis Medicen,Centro de Diálisis,-20.239038000000001,-70.141014999999996
1,102233,Centro de Diálisis Iquique,Centro de Diálisis,-20.221153000000001,-70.139852000000005
1,102234,Centro de Diálisis Corporación Paúl Harris,Centro de Diálisis,-20.239331,-70.138144999999994
1,102235,Laboratorio Clínico Iquilab,Laboratorio Clínico o Dental,S/I,S/I
1,102236,Laboratorio Clínico Playa Brava,Laboratorio Clínico o Dental,S/I,S/I
1,102237,Laboratorio Clínico del Norte,Laboratorio Clínico o Dental,S/I,S/I
1,102238,Laboratorio Clínico OASIS S.A.C.,Laboratorio Clínico o Dental,S/I,S/I
1,102239,Laboratorio Clínico Wallace Ltda.,Laboratorio Clínico o Dental,S/I,S/I
1,102240,Centro de Diálisis la Tirana,Centro de Diálisis,-20.246321999999999,-70.128496999999996
1,102241,Laboratorio Clínico Costanera,Laboratorio Clínico o Dental,S/I,S/I
1,102242,Laboratorio Clínico Arauco Ltda.,Laboratorio Clínico o Dental,S/I,S/I
1,102300,Centro de Salud Familiar Cirujano Aguirre,Consultorio General Urbano,-20.226258999999999,-70.134664000000001
1,102301,Centro de Salud Familiar Cirujano Videla,Consultorio General Urbano,-20.208262999999999,-70.150170000000003
1,102302,Centro de Salud Familiar Cirujano Guzmán,Consultorio General Urbano,-20.236861000000001,-70.136438999999996
1,102303,Centro de Salud Familiar Pozo Almonte,Consultorio General Rural,-20.25836,-69.785379000000006
1,102304,Centro de Salud Familiar Dr. Juan Márquez Vismarra,Consultorio General Rural,-20.491945999999999,-69.330164999999994
1,102305,Centro de Salud Familiar Pedro Pulgar Melgarejo,Consultorio General Urbano,-20.265007000000001,-70.100629999999995
1,102306,Centro de Salud Familiar Sur de Iquique,Consultorio General Urbano,-20.250170000000001,-70.128084999999999
1,102307,Centro de Salud Familiar Dr. Héctor Reyno Gutiérrez,Consultorio General Urbano,-20.287113999999999,-70.103859999999997
1,102308,Centro de Salud Familiar Dr. Amador Neghme Rodríguez,Consultorio General Rural,-19.995471999999999,-69.768842000000006
1,102309,Centro de Salud Familiar Camiña,Consultorio General Rural,-19.312954999999999,-69.427385000000001
1,102310,Centro de Salud Familiar Colchane,Consultorio General Rural,-19.275067,-68.640207000000004
1,102400,Posta de Salud Rural Pisagua,Posta de Salud Rural,-19.596488999999998,-70.211257000000003
1,102401,Posta de Salud Rural Huara,Posta de Salud Rural,S/I,S/I
1,102402,Posta de Salud Rural Tarapacá,Posta de Salud Rural,-19.922955999999999,-69.510945000000007
1,102403,Posta de Salud Rural Mamiña,Posta de Salud Rural,-20.071833999999999,-69.216241999999994
1,102404,Posta de Salud Rural Camiña,Posta de Salud Rural,S/I,S/I
1,102405,Posta de Salud Rural Colchane,Posta de Salud Rural,S/I,S/I
1,102406,Posta de Salud Rural La Tirana,Posta de Salud Rural,-20.335615000000001,-69.654964000000007
1,102407,Posta de Salud Rural Chiapa,Posta de Salud Rural,-19.536694000000001,-69.206153999999998
1,102408,Posta de Salud Rural Moquella,Posta de Salud Rural,-19.350759,-69.514402000000004
1,102409,Posta de Salud Rural Enquelga,Posta de Salud Rural,-19.228739000000001,-68.804105000000007
1,102410,Posta de Salud Rural Sibaya,Posta de Salud Rural,-19.782782999999998,-69.173111000000006
1,102411,Posta de Salud Rural Cancosa,Posta de Salud Rural,-19.855032000000001,-68.600980000000007
1,102412,Posta de Salud Rural Chanavayita,Posta de Salud Rural,-20.702317000000001,-70.187369000000004
1,102413,Posta de Salud Rural San Marcos,Posta de Salud Rural,-21.115309,-70.124185999999995
1,102414,Posta de Salud Rural La Huayca,Posta de Salud Rural,-20.431039999999999,-69.560477000000006
1,102415,Posta de Salud Rural Cariquima,Posta de Salud Rural,-19.469199,-68.644818000000001
1,102416,Posta de Salud Rural Matilla,Posta de Salud Rural,-20.513556000000001,-69.360940999999997
1,102600,COSAM Dr. Jorge Seguel Cáceres,,-20.213349000000001,-70.150414999999995
1,102601,COSAM Salvador Allende,,-20.250820000000001,-70.129706999999996
1,102602,COSAM Enrique París,,-20.275200000000002,-70.098224999999999
1,102701,Centro Comunitario de Salud Familiar Cerro Esmeralda,,-20.208964000000002,-70.140539000000004
1,102705,Centro Comunitario de Salud Familiar El Boro,,-20.246172999999999,-70.096621999999996
1,102800,SAPU Cirujano Aguirre,,-20.226257,-70.134701000000007
1,102801,SAPU Cirujano Videla,,-20.208468,-70.150327000000004
1,102802,SAPU Cirujano Guzmán,,-20.236832,-70.136531000000005
1,102803,SAPU Pozo Almonte,,-20.258372000000001,-69.785076000000004
1,102805,SAPU Pedro Pulgar Melgarejo,,-20.264904000000001,-70.097621000000004
1,102806,SAR Sur de Iquique,,-20.250364000000001,-70.128085999999996
1,102807,SAPU El Boro,,-20.246058999999999,-70.096632
2,103010,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Antofagasta),Dirección Servicio de Salud,S/I,S/I
2,103011,PRAIS (S.S Antofagasta),,-23.646652,-70.395249000000007
2,103012,Sala de Procedimientos Odontológicos Móvil (SPOM) Patente PXI 415-0,,-23.64669,-70.395219999999995
2,103013,Sala de Procedimientos Odontológicos Móvil (SPOM) Patente BKG-355,,-23.64669,-70.395219999999995
2,103100,Hospital Dr. Leonardo Guzmán (Antofagasta),Establecimiento Alta Complejidad,-23.659825999999999,-70.396440999999996
2,103101,Hospital Dr. Carlos Cisternas (Calama),Establecimiento Alta Complejidad,-22.445201000000001,-68.918256999999997
2,103102,Hospital Dr. Marcos Macuada (Tocopilla),Establecimiento Baja Complejidad,-22.088381999999999,-70.193235999999999
2,103103,Hospital 21 de Mayo (Taltal),Establecimiento Baja Complejidad,-25.408169000000001,-70.481211000000002
2,103104,Hospital de Mejillones,Establecimiento Baja Complejidad,-23.102665999999999,-70.446327999999994
2,103105,Centro Oncológico Ambulatorio,Consultorio de Diagnóstico y Tratamiento,-23.569837,-70.378788999999998
2,103201,Hospital Cruz del Norte,Hospital (No perteneciente al SNSS),-22.341778000000001,-69.665032999999994
2,103203,Clínica Antofagasta,Clínica,-23.697759999999999,-70.410229999999999
2,103210,Hospital Militar del Norte,Hospital (No perteneciente al SNSS),-23.666927000000001,-70.401555999999999
2,103211,Clínica Mutual de Seguridad CChC de Calama,Clínica,-22.439450999999998,-68.921118000000007
2,103212,Clínica Baquedano,Clínica,-23.646991,-70.399867999999998
2,103214,Clínica Urológica,Clínica,-23.646816999999999,-70.396670999999998
2,103215,Clínica Oriente,Clínica,-23.667504999999998,-70.403568000000007
2,103216,Clínica Mutual de Seguridad CChC Tocopilla,Clínica,-22.09601,-70.204640999999995
2,103218,Clínica El Loa,Clínica,-22.451637999999999,-68.929120999999995
2,103219,Hospital del Cobre Salvador Allende,Hospital (No perteneciente al SNSS),-22.452680999999998,-68.907724000000002
2,103220,Clínica La Portada,Clínica,-23.645191000000001,-70.398916
2,103221,Laboratorio Clínico Calama,Laboratorio Clínico o Dental,S/I,S/I
2,103223,Clínica Oftalmológica (Mas Visión),Clínica,-23.652929,-70.401967999999997
2,103224,Clínica Cumbres del Norte S.A.,Clínica,-23.648137999999999,-70.399518
2,103226,Centro Médico y Dental Megasalud Calama,Centro Médico y Dental,S/I,S/I
2,103235,Centro Médico y Dental Megasalud Antofagasta,Centro Médico y Dental,S/I,S/I
2,103241,Centro de Salud Mutual CChC Antofagasta,Centro de Salud,S/I,S/I
2,103244,Policlínico del Trabajador AChS Antofagasta,Centro de Salud,S/I,S/I
2,103245,Centro Médico Norte,Centro de Salud,S/I,S/I
2,103246,Consultorio Bautista,Centro de Salud,S/I,S/I
2,103247,Laboratorio Clínico Ehrlich,Laboratorio Clínico o Dental,S/I,S/I
2,103248,Policlínico Mantos Blancos,Centro de Salud,S/I,S/I
2,103249,Centro de Salud Victoria Saravia Crespo,Centro de Salud,S/I,S/I
2,103250,Centro de Salud Aidoret Caro,Centro de Salud,S/I,S/I
2,103251,Centro de Salud Clinisan,Centro de Salud,S/I,S/I
2,103252,Centro de Salud Sanymed,Centro de Salud,S/I,S/I
2,103253,Clínica de la Familia El Loa,Clínica,S/I,S/I
2,103254,Sociedad Diálisis Nordial Ltda.,Centro de Diálisis,-23.663112000000002,-70.397762999999998
2,103255,Centro Médico y Dental Zona Antofagasta,Centro Médico y Dental,-23.639807000000001,-70.396827000000002
2,103256,Consultorio Prefectura de El Loa,Centro de Salud,-22.453325,-68.914276000000001
2,103257,Policlínico Instituto de Seguridad del Trabajo de Antofagasta,Centro de Salud,S/I,S/I
2,103258,Laboratorio Diagnos,Laboratorio Clínico o Dental,S/I,S/I
2,103259,Laboratorio High Clinic,Laboratorio Clínico o Dental,S/I,S/I
2,103260,Laboratorio Tecmed Ltda.,Laboratorio Clínico o Dental,S/I,S/I
2,103261,Laboratorio Histonor,Laboratorio Clínico o Dental,S/I,S/I
2,103262,Laboratorio Diagnolab (Antofagasta),Laboratorio Clínico o Dental,S/I,S/I
2,103263,Laboratorio Luis Pasteur,Laboratorio Clínico o Dental,S/I,S/I
2,103264,Laboratorio Bionet,Laboratorio Clínico o Dental,S/I,S/I
2,103265,Laboratorio Clinilab (Antofagasta),Laboratorio Clínico o Dental,S/I,S/I
2,103266,Laboratorio Clínico Blanco,Laboratorio Clínico o Dental,S/I,S/I
2,103267,Laboratorio Radiolab,Laboratorio Clínico o Dental,S/I,S/I
2,103268,Doctor'Lab. Ltda.,Centro de Salud,S/I,S/I
2,103269,Centro de Diálisis Calama,Centro de Diálisis,-22.440256000000002,-68.921402
2,103270,Clínica de Diálisis TECDIAL Ltda.,Centro de Diálisis,-23.588614,-70.391234999999995
2,103271,Laboratorio Clínico Labclin,Laboratorio Clínico o Dental,S/I,S/I
2,103272,Laboratorio Dipreca,Laboratorio Clínico o Dental,-23.649819000000001,-70.399384999999995
2,103273,Laboratorio Clínico Galeno,Laboratorio Clínico o Dental,S/I,S/I
2,103274,Laboratorio Clínico Madison EIRL,Laboratorio Clínico o Dental,S/I,S/I
2,103275,Laboratorio Clínico Salumed,Laboratorio Clínico o Dental,S/I,S/I
2,103276,Laboratorio Clínico Diagnolab,Laboratorio Clínico o Dental,S/I,S/I
2,103277,Laboratorio Clínico Blanco,Laboratorio Clínico o Dental,S/I,S/I
2,103278,Laboratorio Clínico COMDES,Laboratorio Clínico o Dental,-22.459797999999999,-68.923345999999995
2,103279,Laboratorio Sarita Núñez,Laboratorio Clínico o Dental,-23.626645,-70.380336999999997
2,103300,Centro de Salud Familiar Norte de Antofagasta,Consultorio General Urbano,-23.596917000000001,-70.380532000000002
2,103301,Centro de Salud Familiar Antonio Rendic (Ex Cautín),Consultorio General Urbano,-23.615572,-70.382952000000003
2,103302,Centro de Salud Familiar Corvallis,Consultorio General Urbano,-23.628952000000002,-70.380222000000003
2,103303,Centro de Salud Familiar Centro Sur de Antofagasta,Consultorio General Urbano,-23.667161,-70.403379000000001
2,103304,Centro de Salud Familiar Juan Pablo II de Antofagasta,Consultorio General Urbano,-23.581934,-70.381202999999999
2,103305,Centro de Salud Familiar Central de Calama,Consultorio General Urbano,-22.459219999999998,-68.930242000000007
2,103306,Centro de Salud Familiar Montt,Consultorio General Urbano,-22.442547000000001,-68.927423000000005
2,103307,Centro de Salud Familiar Alemania de Calama,Consultorio General Urbano,-22.454514,-68.939824000000002
2,103308,Centro de Salud Familiar Central Oriente de Antofagasta,Consultorio General Urbano,-23.651019999999999,-70.385565999999997
2,103309,Centro de Salud Familiar María Elena,Consultorio General Rural,-22.341087999999999,-69.664248999999998
2,103311,Centro de Salud Familiar San Pedro Atacama,Consultorio General Rural,-22.910658000000002,-68.199264999999997
2,103312,Centro de Salud Familiar Norponiente,Consultorio General Urbano,-22.438908000000001,-68.935598999999996
2,103350,Centro Asistencial Norte (CAN),Centro de Referencia de Salud,-23.569147000000001,-70.379095000000007
2,103400,Posta de Salud Rural Baquedano,Posta de Salud Rural,-23.335784,-69.845764000000003
2,103401,Posta de Salud Rural Sierra Gorda,Posta de Salud Rural,-22.890858999999999,-69.320708999999994
2,103403,Posta de Salud Rural Toconao,Posta de Salud Rural,-23.189755000000002,-68.005287999999993
2,103404,Posta de Salud Rural Peine,Posta de Salud Rural,-23.682925999999998,-68.065426000000002
2,103405,Posta de Salud Rural Socaire,Posta de Salud Rural,-23.591237,-67.890344999999996
2,103406,Posta de Salud Rural Caspana,Posta de Salud Rural,-22.335167999999999,-68.212670000000003
2,103407,Posta de Salud Rural Ollagüe,Posta de Salud Rural,-21.224889000000001,-68.255628000000002
2,103409,Posta de Salud Rural Ayquina,Posta de Salud Rural,-22.278561,-68.321623000000002
2,103410,Posta de Salud Rural Chiu-Chiu,Posta de Salud Rural,-22.342471,-68.649696000000006
2,103411,Posta de Salud Rural Quillagua (María Elena),Posta de Salud Rural,-21.660610999999999,-69.535038
2,103413,Posta de Salud Rural Paposo,Posta de Salud Rural,-25.014600999999999,-70.465410000000006
2,103414,Estación de Salud Rural Río Grande,Posta de Salud Rural,-22.652042999999999,-68.166414000000003
2,103601,COSAM Calama,,-22.457557000000001,-68.939639999999997
2,103602,COSAM Sur de Antofagasta,,-23.664496,-70.401878999999994
2,103603,COSAM Central,,-23.615516,-70.382925999999998
2,103704,Centro Comunitario de Salud Familiar Antofagasta,,-23.543233000000001,-70.385436999999996
2,103705,Centro Comunitario de Salud Familiar Sur,,-22.477409999999999,-68.929018999999997
2,103707,Centro Comunitario de Salud Familiar Alemania,,-22.457939,-68.939728000000002
2,103800,SAPU Norte de Antofagasta,,-23.597093999999998,-70.380532000000002
2,103801,SAPU Antonio Rendic,,-23.615729000000002,-70.382958000000002
2,103802,SAPU Corvallis,,-23.628959999999999,-70.380026000000001
2,103804,SAPU Juan Pablo II de Antofagasta,,-23.581858,-70.381304999999998
2,103806,SAPUEnrique Montt,,-22.442564999999998,-68.927351000000002
2,103807,SAPU Alemania de Calama,,-22.451411,-68.939138999999997
3,104010,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Atacama),Dirección Servicio de Salud,S/I,S/I
3,104011,PRAIS (S.S Atacama),,-27.365631,-70.332055999999994
3,104012,Clínica Dental Móvil Simple. Pat. PW4068 (Copiapo),,-27.365631,-70.332055999999994
3,104100,Hospital San José del Carmen (Copiapó),Establecimiento Alta Complejidad,-27.373352000000001,-70.322126999999995
3,104101,Hospital Dr. Jerónimo Méndez Arancibia (Chañaral),Establecimiento Baja Complejidad,-26.347152999999999,-70.617305999999999
3,104102,Hospital Dr. Florencio Vargas (Diego de Almagro),Establecimiento Baja Complejidad,-26.392455999999999,-70.052330999999995
3,104103,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),Establecimiento Mediana Complejidad,-28.574949,-70.782511999999997
3,104104,Hospital Dr. Manuel Magalhaes Medling (Huasco),Establecimiento Baja Complejidad,-28.463524,-71.216510999999997
3,104200,Clínica San Lorenzo,Clínica,-26.244865000000001,-69.631229000000005
3,104202,Centro de Salud del Trabajador AChS Copiapó,Centro de Salud,S/I,S/I
3,104203,Centro de Salud Mutual CChC Copiapó,Centro de Salud,S/I,S/I
3,104214,Clínica del Trabajador AChS Vallenar,Clínica,-28.576360999999999,-70.756118000000001
3,104215,Centro de Salud Universidad de Atacama,Centro de Salud,-27.404793000000002,-70.296268999999995
3,104216,Centro de Salud Compañía Acero del Pacifico,Centro de Salud,S/I,S/I
3,104217,Laboratorio Bio-Test,Laboratorio Clínico o Dental,S/I,S/I
3,104218,Laboratorio Atacama,Laboratorio Clínico o Dental,S/I,S/I
3,104238,Clínica Indire,Clínica,-27.368912000000002,-70.329926
3,104239,Centro de Salud CEDIMED,Centro de Salud,S/I,S/I
3,104241,Laboratorio Clínico Guillermo Guaita,Laboratorio Clínico o Dental,S/I,S/I
3,104242,Laboratorio Clínico Huasco-Vallenar,Laboratorio Clínico o Dental,S/I,S/I
3,104243,Laboratorio Clínico SIAC Copiapo,Laboratorio Clínico o Dental,S/I,S/I
3,104244,Laboratorio Clínico Vallenar,Laboratorio Clínico o Dental,S/I,S/I
3,104245,Laboratorio Clínico Bionet S.A.,Laboratorio Clínico o Dental,S/I,S/I
3,104246,Laboratorio Clínico Diagnolab,Laboratorio Clínico o Dental,S/I,S/I
3,104247,Laboratorio Clínico Examed,Laboratorio Clínico o Dental,S/I,S/I
3,104248,Laboratorio Clínico Coprese,Laboratorio Clínico o Dental,S/I,S/I
3,104249,Clínica Atacama S.A.,Clínica,-27.365449000000002,-70.327758000000003
3,104250,Laboratorio Clinimed,Laboratorio Clínico o Dental,S/I,S/I
3,104251,Centro Médico y Diagnóstico Atacama SpA,Centro de Salud,S/I,S/I
3,104252,Clínica Dial Vida,Clínica,-27.365862,-70.335886000000002
3,104253,Centro de Diálisis Nefrodial Atacama,Centro de Diálisis,-27.367978999999998,-70.327236999999997
3,104254,Centro de Diálisis Curanilahue,Centro de Diálisis,-27.356521999999998,-70.350194999999999
3,104255,Centro de Diálisis Vallenar,Centro de Diálisis,-28.578334000000002,-70.759653
3,104256,Centro de Diálisis Renacer del Valle,Centro de Diálisis,-28.581108,-70.750738999999996
3,104300,Centro de Salud Familiar Santa Elvira,Consultorio General Urbano,-27.379339999999999,-70.322419999999994
3,104301,Centro de Salud Familiar Rosario Corvalán,Consultorio General Urbano,-27.073674,-70.824945
3,104302,Centro de Salud Familiar Juan Martínez,Consultorio General Urbano,-27.360747,-70.345320000000001
3,104303,Centro de Salud Familiar Pedro León Gallo,Consultorio General Urbano,-27.359597999999998,-70.326363000000001
3,104304,Centro de Salud Familiar Rosario-Palomar,Consultorio General Urbano,-27.383322,-70.335486000000003
3,104305,Centro de Salud Familiar Candelaria Rosario,Consultorio General Urbano,-27.37772,-70.338652999999994
3,104306,Centro de Salud Familiar Manuel Rodríguez,Consultorio General Urbano,-27.375619,-70.315799999999996
3,104307,Centro de Salud Familiar Paipote,Consultorio General Urbano,-27.414203000000001,-70.271181999999996
3,104308,Centro de Salud Familiar Dr. Salvador Allende Gossens,Consultorio General Rural,-27.468757,-70.266738000000004
3,104309,Centro de Salud Familiar Dr. Luis Herrera,Consultorio General Urbano,-26.337146000000001,-70.615114000000005
3,104311,Centro de Salud Familiar El Salvador,Consultorio General Rural,-26.253257999999999,-69.622204999999994
3,104313,Centro de Salud Familiar Estación,Consultorio General Urbano,-28.572229,-70.764471
3,104314,Centro de Salud Familiar Freirina,Consultorio General Rural,-28.509270000000001,-71.074715999999995
3,104315,Centro de Salud Familiar Hermanos Carrera,Consultorio General Urbano,-28.571632000000001,-70.760723999999996
3,104316,Centro de Salud Familiar Baquedano,Consultorio General Urbano,-28.578074000000001,-70.744882000000004
3,104317,Centro de Salud Familiar Joan Crawford Astudillo,Consultorio General Urbano,-28.59047,-70.758298999999994
3,104319,Centro de Salud Familiar Juan Verdaguer,Consultorio General Urbano,-28.46876,-71.217843999999999
3,104321,Centro de Salud Familiar Dr. Bernardo Mellibovsky,Consultorio General Urbano,-27.368834,-70.312117999999998
3,104322,Centro de Salud Familiar Alto del Carmen,Consultorio General Rural,-28.758503000000001,-70.487116
3,104400,Posta de Salud Rural Los Loros,Posta de Salud Rural,-27.832135999999998,-70.105067000000005
3,104401,Posta de Salud Rural El Salado de Chañaral,Posta de Salud Rural,-26.424378999999998,-70.320397999999997
3,104402,Posta de Salud Rural Inca de Oro,Posta de Salud Rural,-26.752617000000001,-69.904976000000005
3,104403,Posta de Salud Rural San Félix,Posta de Salud Rural,-28.932658,-70.462382000000005
3,104404,Posta de Salud Rural El Tránsito,Posta de Salud Rural,-28.876484000000001,-70.280552999999998
3,104405,Posta de Salud Rural Domeyko,Posta de Salud Rural,-28.954574000000001,-70.892142000000007
3,104407,Posta de Salud Rural Conay,Posta de Salud Rural,-28.973400000000002,-70.154874000000007
3,104408,Posta de Salud Rural Hacienda Ventanas,Posta de Salud Rural,-28.527224,-70.870517000000007
3,104409,Posta de Salud Rural Carrizalillo (Freirina),Posta de Salud Rural,-29.102065,-71.409465999999995
3,104410,Posta de Salud Rural Cachiyuyo,Posta de Salud Rural,-29.036431,-70.899608000000001
3,104411,Posta de Salud Rural Incahuasi,Posta de Salud Rural,-29.227321,-71.011516
3,104412,Posta de Salud Rural Hacienda Compañía,Posta de Salud Rural,-28.595476000000001,-70.792150000000007
3,104413,Posta de Salud Rural Segundo Ponce,Posta de Salud Rural,-28.082267000000002,-71.147796
3,104414,Posta de Salud Rural Las Breas (Alto del Carmen),Posta de Salud Rural,-29.098790000000001,-70.460836999999998
